Продукт,Калорийность,Белки,Жиры,Углеводы
Акула катран,143 кКал,"19,9 г",7 г,0 г
"Акула, все виды, приготовленная, обжаренная в панировке",228 кКал,"18,62 г","13,82 г","6,39 г"
"Акула, все виды, сырая",130 кКал,"20,98 г","4,51 г",0 г
Альбула,106 кКал,23 г,"1,5 г",0 г
Анчоус атлантический,135 кКал,"20,1 г","6,1 г",0 г
"Анчоус европейский, консервированный в масле, сухой продукт без маринада",210 кКал,"28,89 г","9,71 г",0 г
"Анчоус европейский, сырой",131 кКал,"20,35 г","4,84 г",0 г
Аргентина,88 кКал,"17,6 г",2 г,0 г
"Асцидия, (tunughnak), (Аляска)",20 кКал,"3,8 г","0,5 г",0 г
Балык осетровый вяленый,177 кКал,"21,6 г","10,1 г",0 г
Балык осетровый холодного копчения,194 кКал,"20,4 г","12,5 г",0 г
"Барабулька, приготовленная на жару",150 кКал,"24,81 г","4,86 г",0 г
"Барабулька, сырая",117 кКал,"19,35 г","3,79 г",0 г
"Баттерфиш, весенне-летняя",140 кКал,"17,3 г","7,9 г",0 г
"Баттерфиш, осенне-зимняя",201 кКал,"17,3 г","14,6 г",0 г
"Белая рыба, все виды",134 кКал,"19,09 г","5,86 г",0 г
"Белая рыба, все виды, копченая",108 кКал,"23,4 г","0,93 г",0 г
"Белая рыба, все виды, приготовленная на жару",172 кКал,"24,47 г","7,51 г",0 г
Белоглазка аральская холодного копчения,244 кКал,"27,5 г","14,9 г",0 г
"Белоглазка, аральская",144 кКал,"17,9 г",8 г,0 г
"Белоглазка, волго-каспийская",92 кКал,"18,8 г","1,9 г",0 г
Белорыбица,274 кКал,"20,1 г","21,5 г",0 г
Белуга бланшированная консервированная,234 кКал,"23,3 г","15,6 г",0 г
"Белуга, глаза (Аляска)",291 кКал,"19,6 г","23,3 г",0 г
"Бельдюга американская, приготовленная на жару",102 кКал,"21,33 г","1,17 г",0 г
"Бельдюга американская, сырая",79 кКал,"16,64 г","0,91 г",0 г
Бельдюга океаническая,89 кКал,"17,6 г","2,1 г",0 г
Берикс,88 кКал,"20,3 г","0,8 г",0 г
Бесуго,145 кКал,20 г,"7,2 г",0 г
Боковник белужий холодного копчения,228 кКал,"18,2 г","17,2 г",0 г
Большеголов,94 кКал,"11,4 г","5,4 г",0 г
Большеголов атлантический,76 кКал,"16,41 г","0,7 г",0 г
"Большеголов атлантический, приготовленный на жару",105 кКал,"22,64 г","0,9 г",0 г
Бульон рыбный,17 кКал,"2,26 г","0,81 г",0 г
"Бычки в томатном соусе, консервы",145 кКал,"12,8 г","8,1 г","5,2 г"
Бычок-песочник,70 кКал,"15,8 г","0,8 г",0 г
Вобла,95 кКал,18 г,"2,8 г",0 г
Вобла каспийская вяленая,235 кКал,"46,4 г","5,5 г",0 г
Вобла холодного копчения,181 кКал,"31,1 г","6,3 г",0 г
"Галиотис, все виды, жареный",189 кКал,"19,63 г","6,78 г","11,05 г"
"Галиотис, все виды, сырой",105 кКал,"17,1 г","0,76 г","6,01 г"
"Галки из трески, по 1-388",87 кКал,12 г,"1,1 г","7,3 г"
"Гирелла, черный каменный окунь, сырой, (Аляска)",82 кКал,"15,5 г","1,75 г",0 г
Гладкоголов,49 кКал,8 г,"1,9 г",0 г
Горбуша,140 кКал,"20,5 г","6,5 г",0 г
Горбуша в томатном соусе. Консервы,130 кКал,15 г,6 г,"4,1 г"
Горбуша натуральная. Консервы,136 кКал,"20,9 г","5,8 г",0 г
"Горбуша отварная, по 1-342",152 кКал,"21,8 г","7,3 г",0 г
Горбуша соленая,169 кКал,"22,1 г",9 г,0 г
"Горбуша, консервированная без соли, с маринадом и костями",139 кКал,"19,78 г","6,05 г",0 г
"Горбуша, консервированная, содержимое без жидкости",138 кКал,"23,1 г","5,02 г",0 г
"Горбуша, консервированная, содержимое без жидкости, без кожи и костей",136 кКал,"24,62 г","4,21 г",0 г
